,0
"(Timestamp('2019-01-01 17:00:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 17:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 17:30:00+0000', tz='UTC'), 'H2')",0.0
"(Timestamp('2019-01-01 17:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 17:30:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 18:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 18:00:00+0000', tz='UTC'), 'H2')",0.191
"(Timestamp('2019-01-01 18:00:00+0000', tz='UTC'), 'H3')",0.140742764679203
"(Timestamp('2019-01-01 18:00:00+0000', tz='UTC'), 'H4')",0.0
"(Timestamp('2019-01-01 18:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 18:30:00+0000', tz='UTC'), 'H2')",0.168
"(Timestamp('2019-01-01 18:30:00+0000', tz='UTC'), 'H3')",1.335
"(Timestamp('2019-01-01 18:30:00+0000', tz='UTC'), 'H4')",0.181492099999999
"(Timestamp('2019-01-01 19:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 19:00:00+0000', tz='UTC'), 'H2')",0.234
"(Timestamp('2019-01-01 19:00:00+0000', tz='UTC'), 'H3')",1.311
"(Timestamp('2019-01-01 19:00:00+0000', tz='UTC'), 'H4')",1.221
"(Timestamp('2019-01-01 19:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 19:30:00+0000', tz='UTC'), 'H2')",0.43
"(Timestamp('2019-01-01 19:30:00+0000', tz='UTC'), 'H3')",1.216
"(Timestamp('2019-01-01 19:30:00+0000', tz='UTC'), 'H4')",1.265
"(Timestamp('2019-01-01 20:00:00+0000', tz='UTC'), 'H1')",0.886
"(Timestamp('2019-01-01 20:00:00+0000', tz='UTC'), 'H2')",1.372
"(Timestamp('2019-01-01 20:00:00+0000', tz='UTC'), 'H3')",1.054
"(Timestamp('2019-01-01 20:00:00+0000', tz='UTC'), 'H4')",0.902
"(Timestamp('2019-01-01 20:30:00+0000', tz='UTC'), 'H1')",0.573
"(Timestamp('2019-01-01 20:30:00+0000', tz='UTC'), 'H2')",1.258
"(Timestamp('2019-01-01 20:30:00+0000', tz='UTC'), 'H3')",0.952
"(Timestamp('2019-01-01 20:30:00+0000', tz='UTC'), 'H4')",0.508
"(Timestamp('2019-01-01 21:00:00+0000', tz='UTC'), 'H1')",0.25
"(Timestamp('2019-01-01 21:00:00+0000', tz='UTC'), 'H2')",0.673
"(Timestamp('2019-01-01 21:00:00+0000', tz='UTC'), 'H3')",0.744
"(Timestamp('2019-01-01 21:00:00+0000', tz='UTC'), 'H4')",0.501
"(Timestamp('2019-01-01 21:30:00+0000', tz='UTC'), 'H1')",0.292
"(Timestamp('2019-01-01 21:30:00+0000', tz='UTC'), 'H2')",0.307
"(Timestamp('2019-01-01 21:30:00+0000', tz='UTC'), 'H3')",0.889
"(Timestamp('2019-01-01 21:30:00+0000', tz='UTC'), 'H4')",0.418
"(Timestamp('2019-01-01 22:00:00+0000', tz='UTC'), 'H1')",0.231
"(Timestamp('2019-01-01 22:00:00+0000', tz='UTC'), 'H2')",0.203
"(Timestamp('2019-01-01 22:00:00+0000', tz='UTC'), 'H3')",1.29161904761905
"(Timestamp('2019-01-01 22:00:00+0000', tz='UTC'), 'H4')",0.404
"(Timestamp('2019-01-01 22:30:00+0000', tz='UTC'), 'H1')",0.578619047619047
"(Timestamp('2019-01-01 22:30:00+0000', tz='UTC'), 'H2')",0.168
"(Timestamp('2019-01-01 22:30:00+0000', tz='UTC'), 'H3')",0.891
"(Timestamp('2019-01-01 22:30:00+0000', tz='UTC'), 'H4')",0.37
"(Timestamp('2019-01-01 23:00:00+0000', tz='UTC'), 'H1')",0.550619047619047
"(Timestamp('2019-01-01 23:00:00+0000', tz='UTC'), 'H2')",0.194
"(Timestamp('2019-01-01 23:00:00+0000', tz='UTC'), 'H3')",0.57
"(Timestamp('2019-01-01 23:00:00+0000', tz='UTC'), 'H4')",0.385
"(Timestamp('2019-01-01 23:30:00+0000', tz='UTC'), 'H1')",0.555619047619047
"(Timestamp('2019-01-01 23:30:00+0000', tz='UTC'), 'H2')",0.194
"(Timestamp('2019-01-01 23:30:00+0000', tz='UTC'), 'H3')",0.439
"(Timestamp('2019-01-01 23:30:00+0000', tz='UTC'), 'H4')",0.224
