Time,Household,Peer,X_p
2019-01-01 11:30:00+00:00,H4,H3,0.0
2019-01-01 11:30:00+00:00,H4,H4,0.0
2019-01-01 12:00:00+00:00,H1,H1,0.0
2019-01-01 12:00:00+00:00,H1,H2,0.0
2019-01-01 12:00:00+00:00,H1,H3,0.0
2019-01-01 12:00:00+00:00,H1,H4,0.0
2019-01-01 12:00:00+00:00,H2,H1,0.0
2019-01-01 12:00:00+00:00,H2,H2,0.0
2019-01-01 12:00:00+00:00,H2,H3,0.0
2019-01-01 12:00:00+00:00,H2,H4,0.0
2019-01-01 12:00:00+00:00,H3,H1,0.0
2019-01-01 12:00:00+00:00,H3,H2,0.0
2019-01-01 12:00:00+00:00,H3,H3,0.0
2019-01-01 12:00:00+00:00,H3,H4,0.0
2019-01-01 12:00:00+00:00,H4,H1,0.0
2019-01-01 12:00:00+00:00,H4,H2,0.0
2019-01-01 12:00:00+00:00,H4,H3,0.0
2019-01-01 12:00:00+00:00,H4,H4,0.0
2019-01-01 12:30:00+00:00,H1,H1,0.0
2019-01-01 12:30:00+00:00,H1,H2,0.0
2019-01-01 12:30:00+00:00,H1,H3,0.0
2019-01-01 12:30:00+00:00,H1,H4,0.0
2019-01-01 12:30:00+00:00,H2,H1,0.0
2019-01-01 12:30:00+00:00,H2,H2,0.0
2019-01-01 12:30:00+00:00,H2,H3,0.0
2019-01-01 12:30:00+00:00,H2,H4,0.00864994473239508
2019-01-01 12:30:00+00:00,H3,H1,0.0
2019-01-01 12:30:00+00:00,H3,H2,0.0
2019-01-01 12:30:00+00:00,H3,H3,0.0
2019-01-01 12:30:00+00:00,H3,H4,0.0
2019-01-01 12:30:00+00:00,H4,H1,0.0
2019-01-01 12:30:00+00:00,H4,H2,0.0
2019-01-01 12:30:00+00:00,H4,H3,0.0
2019-01-01 12:30:00+00:00,H4,H4,0.0
2019-01-01 13:00:00+00:00,H1,H1,0.0
2019-01-01 13:00:00+00:00,H1,H2,0.12012987012987
2019-01-01 13:00:00+00:00,H1,H3,0.0
2019-01-01 13:00:00+00:00,H1,H4,0.266233766233766
2019-01-01 13:00:00+00:00,H2,H1,0.0
2019-01-01 13:00:00+00:00,H2,H2,0.0
2019-01-01 13:00:00+00:00,H2,H3,0.0
2019-01-01 13:00:00+00:00,H2,H4,0.0
2019-01-01 13:00:00+00:00,H3,H1,0.0
2019-01-01 13:00:00+00:00,H3,H2,0.0
2019-01-01 13:00:00+00:00,H3,H3,0.0
2019-01-01 13:00:00+00:00,H3,H4,0.0
2019-01-01 13:00:00+00:00,H4,H1,0.0
2019-01-01 13:00:00+00:00,H4,H2,0.0
2019-01-01 13:00:00+00:00,H4,H3,0.0
2019-01-01 13:00:00+00:00,H4,H4,0.0
2019-01-01 13:30:00+00:00,H1,H1,0.0
2019-01-01 13:30:00+00:00,H1,H2,0.146103896103896
2019-01-01 13:30:00+00:00,H1,H3,0.0
2019-01-01 13:30:00+00:00,H1,H4,0.25974025974026
2019-01-01 13:30:00+00:00,H2,H1,0.0
2019-01-01 13:30:00+00:00,H2,H2,0.0
2019-01-01 13:30:00+00:00,H2,H3,0.0
2019-01-01 13:30:00+00:00,H2,H4,0.0
2019-01-01 13:30:00+00:00,H3,H1,0.0
2019-01-01 13:30:00+00:00,H3,H2,0.0
2019-01-01 13:30:00+00:00,H3,H3,0.0
2019-01-01 13:30:00+00:00,H3,H4,0.0
2019-01-01 13:30:00+00:00,H4,H1,0.0
2019-01-01 13:30:00+00:00,H4,H2,0.0
2019-01-01 13:30:00+00:00,H4,H3,0.0
2019-01-01 13:30:00+00:00,H4,H4,0.0
2019-01-01 14:00:00+00:00,H1,H1,0.0
2019-01-01 14:00:00+00:00,H1,H2,0.0295321599956913
2019-01-01 14:00:00+00:00,H1,H3,0.0
2019-01-01 14:00:00+00:00,H1,H4,0.963516685287512
